method,accuracy,f1_score,prauc,roc,aps,precision,recall,elapsed
xgb,0.8948598130841121,0.7846889952153111,0.8901211334689596,0.9459876543209877,0.890566478106991,0.780952380952381,0.7884615384615384,0.0805964469909668
rf,0.8878504672897196,0.7894736842105263,0.8805463558589864,0.9397851377018044,0.8810664094079453,0.7258064516129032,0.8653846153846154,0.24255084991455078
xt,0.866822429906542,0.7373271889400922,0.8190021274449567,0.9152421652421652,0.8198720066797249,0.7079646017699115,0.7692307692307693,0.20229864120483398
ivf_rf,0.8901869158878505,0.7929515418502202,0.8837810121801746,0.9414767331433999,0.8842778609530557,0.7317073170731707,0.8653846153846154,1.1723272800445557
swf_rf,0.8878504672897196,0.7894736842105263,0.8805243566973749,0.9400225546058879,0.8810451526909342,0.7258064516129032,0.8653846153846154,0.31302928924560547
owf_rf,0.8878504672897196,0.7894736842105263,0.8804675526209287,0.9400522317188985,0.8809886387855936,0.7258064516129032,0.8653846153846154,0.32372355461120605
mrf_rf,0.8925233644859814,0.7927927927927929,0.8896593411800349,0.9416251187084521,0.8900553764710951,0.7457627118644068,0.8461538461538461,2.125953197479248
xgb,0.9018691588785047,0.7941176470588236,0.8805704269451721,0.9575617283950617,0.8814008094485186,0.81,0.7788461538461539,0.0416562557220459
rf,0.883177570093458,0.7767857142857143,0.8319552941905342,0.9456908831908832,0.8335258811461601,0.725,0.8365384615384616,0.2361741065979004
xt,0.8761682242990654,0.7601809954751131,0.8049279169374192,0.928448480531814,0.807264273884627,0.717948717948718,0.8076923076923077,0.20097684860229492
ivf_rf,0.8855140186915887,0.780269058295964,0.8382898599065083,0.9468186134852801,0.8396434586446958,0.7310924369747899,0.8365384615384616,1.1662304401397705
swf_rf,0.883177570093458,0.7767857142857143,0.8338878980066307,0.9459579772079771,0.8353434866906374,0.725,0.8365384615384616,0.3108649253845215
owf_rf,0.8808411214953271,0.7713004484304934,0.8337167505971459,0.9457799145299145,0.8351718415027916,0.7226890756302521,0.8269230769230769,0.32836174964904785
mrf_rf,0.8785046728971962,0.7699115044247787,0.8440345287358207,0.9489256885090218,0.8455391403528353,0.7131147540983607,0.8365384615384616,2.1536641120910645
xgb,0.8761682242990654,0.7363184079601989,0.850314745316638,0.9421741452991452,0.8510777305442994,0.7628865979381443,0.7115384615384616,0.03435778617858887
rf,0.8761682242990654,0.7665198237885463,0.8264205979179453,0.9284781576448243,0.8274179410402558,0.7073170731707317,0.8365384615384616,0.2507476806640625
xt,0.852803738317757,0.7224669603524229,0.7810924079687421,0.9043506647673315,0.7823502553285387,0.6666666666666666,0.7884615384615384,0.1987307071685791
ivf_rf,0.8738317757009346,0.7610619469026548,0.8355357074675169,0.9312678062678063,0.8364034084925931,0.7049180327868853,0.8269230769230769,1.184647798538208
swf_rf,0.8761682242990654,0.7665198237885463,0.8278484762498338,0.928923314339981,0.8288289152726889,0.7073170731707317,0.8365384615384616,0.31167101860046387
owf_rf,0.8761682242990654,0.7665198237885463,0.8279354830173353,0.928982668566002,0.8289154978136912,0.7073170731707317,0.8365384615384616,0.33246278762817383
mrf_rf,0.8738317757009346,0.7631578947368421,0.8608484585868983,0.9418625356125355,0.8614901108413195,0.7016129032258065,0.8365384615384616,2.1345019340515137
xgb,0.8948598130841121,0.782608695652174,0.8893136790521766,0.9462844254510923,0.8897718376118621,0.7864077669902912,0.7788461538461539,0.05767393112182617
rf,0.9042056074766355,0.8177777777777777,0.8449621347879831,0.9376780626780626,0.8461164992096503,0.7603305785123967,0.8846153846153846,0.23878693580627441
xt,0.8691588785046729,0.7543859649122807,0.811223412976275,0.9201388888888888,0.8124561673492439,0.6935483870967742,0.8269230769230769,0.196946382522583
ivf_rf,0.9042056074766355,0.8177777777777777,0.8506297489487573,0.9394883665716999,0.8517201053413799,0.7603305785123967,0.8846153846153846,1.1837310791015625
swf_rf,0.9018691588785047,0.8125,0.8461672264750714,0.938034188034188,0.8473011881612722,0.7583333333333333,0.875,0.3057992458343506
owf_rf,0.9018691588785047,0.8125,0.8464375537226124,0.9380638651471984,0.8475700357883977,0.7583333333333333,0.875,0.3336610794067383
mrf_rf,0.897196261682243,0.8086956521739131,0.8811814879089203,0.946284425451092,0.8817803894252284,0.7380952380952381,0.8942307692307693,2.117509603500366
xgb,0.8457943925233645,0.6292134831460674,0.7764679040090829,0.9095738366571701,0.7778051237387984,0.7567567567567568,0.5384615384615384,0.13081812858581543
rf,0.866822429906542,0.7397260273972603,0.7945826374094056,0.9226911206077872,0.7959329430397938,0.7043478260869566,0.7788461538461539,0.25206518173217773
xt,0.8504672897196262,0.709090909090909,0.7586129844395918,0.8917675688509021,0.7599615175292715,0.6724137931034483,0.75,0.19924426078796387
ivf_rf,0.8714953271028038,0.7555555555555555,0.7966092806772169,0.9242343304843305,0.7979523087539151,0.7024793388429752,0.8173076923076923,1.176581859588623
swf_rf,0.8691588785046729,0.7454545454545455,0.7950813399474334,0.92286918328585,0.7964275034064233,0.7068965517241379,0.7884615384615384,0.3038508892059326
owf_rf,0.8691588785046729,0.7454545454545455,0.7954768689445801,0.9228988603988604,0.7968069786279471,0.7068965517241379,0.7884615384615384,0.33185768127441406
mrf_rf,0.8761682242990654,0.7705627705627706,0.8040851360588256,0.9301400759734093,0.8057158857362026,0.7007874015748031,0.8557692307692307,2.104165554046631
xgb,0.9042056074766355,0.7783783783783783,0.8868924533800799,0.9480353751187085,0.8873435666041373,0.8888888888888888,0.6923076923076923,0.05114316940307617
rf,0.866822429906542,0.7466666666666666,0.8568819020503456,0.936372269705603,0.8575358342494441,0.6942148760330579,0.8076923076923077,0.5109198093414307
xt,0.8738317757009346,0.7326732673267328,0.8169002524066753,0.9255698005698005,0.8178248255866487,0.7551020408163265,0.7115384615384616,0.19677519798278809
ivf_rf,0.8714953271028038,0.7555555555555555,0.8628222662385626,0.937767094017094,0.8634236189089761,0.7024793388429752,0.8173076923076923,2.5572702884674072
swf_rf,0.8691588785046729,0.7522123893805309,0.8593036429288476,0.9370251661918328,0.8599378547128894,0.6967213114754098,0.8173076923076923,0.6613311767578125
owf_rf,0.8691588785046729,0.7522123893805309,0.8590846152185856,0.9369954890788224,0.8597207937525533,0.6967213114754098,0.8173076923076923,0.7269992828369141
mrf_rf,0.8785046728971962,0.761467889908257,0.8747055570316647,0.9425747863247863,0.8751944634670726,0.7280701754385965,0.7980769230769231,7.068775177001953
xgb,0.8948598130841121,0.7457627118644068,0.8454071107529046,0.9393993352326685,0.8462922673189535,0.9041095890410958,0.6346153846153846,0.0403599739074707
rf,0.8808411214953271,0.7713004484304934,0.8745064164170192,0.9498456790123457,0.8751582220218248,0.7226890756302521,0.8269230769230769,0.24196434020996094
xt,0.883177570093458,0.7727272727272727,0.8087359742521582,0.9218898385565053,0.809909951703068,0.7327586206896551,0.8173076923076923,0.2023484706878662
ivf_rf,0.8855140186915887,0.7822222222222223,0.8760038759830621,0.9512405033238366,0.8766611406691364,0.7272727272727273,0.8461538461538461,1.1739153861999512
swf_rf,0.8808411214953271,0.7713004484304934,0.8756338640517727,0.9500830959164293,0.8762726317725295,0.7226890756302521,0.8269230769230769,0.3020210266113281
owf_rf,0.8808411214953271,0.7713004484304934,0.8757894493942192,0.9501127730294397,0.8764275162975669,0.7226890756302521,0.8269230769230769,0.33315134048461914
mrf_rf,0.8878504672897196,0.7876106194690266,0.8730663824030832,0.9540004748338081,0.8739993809473409,0.7295081967213115,0.8557692307692307,2.1475226879119873
xgb,0.8691588785046729,0.7021276595744681,0.8349689239248493,0.9219788698955366,0.8356355386527118,0.7857142857142857,0.6346153846153846,0.03438591957092285
rf,0.8691588785046729,0.7477477477477477,0.8428342879995765,0.9192485754985754,0.843461527740676,0.7033898305084746,0.7980769230769231,0.2382504940032959
xt,0.8551401869158879,0.7181818181818181,0.8032735824697919,0.8994836182336182,0.8041339384208078,0.6810344827586207,0.7596153846153846,0.19644927978515625
ivf_rf,0.866822429906542,0.7443946188340808,0.8438493907687686,0.9195156695156695,0.8444577601173551,0.6974789915966386,0.7980769230769231,1.1619305610656738
swf_rf,0.8691588785046729,0.7477477477477477,0.843121789442883,0.9192485754985756,0.8437426976490208,0.7033898305084746,0.7980769230769231,0.30610156059265137
owf_rf,0.8691588785046729,0.7477477477477477,0.8430145568013839,0.9192485754985755,0.843636276684534,0.7033898305084746,0.7980769230769231,0.31927943229675293
mrf_rf,0.866822429906542,0.7397260273972603,0.8338634388265929,0.9164589268755936,0.834535607814061,0.7043478260869566,0.7788461538461539,2.144841432571411
xgb,0.8738317757009346,0.6785714285714286,0.8412452703441046,0.9141441120607787,0.8419575660534512,0.890625,0.5480769230769231,0.05193948745727539
rf,0.8948598130841121,0.7867298578199052,0.8681434886036514,0.9331968186134852,0.8687103609646405,0.7757009345794392,0.7980769230769231,0.24123239517211914
xt,0.8878504672897196,0.7757009345794391,0.8257442473780668,0.9189221272554605,0.8267691389044552,0.7545454545454545,0.7980769230769231,0.20073342323303223
ivf_rf,0.8901869158878505,0.7813953488372093,0.8678456758239023,0.9335529439696105,0.8684222361337495,0.7567567567567568,0.8076923076923077,1.1495983600616455
swf_rf,0.8925233644859814,0.7830188679245284,0.8678881244533777,0.9332264957264956,0.8684599071565734,0.7685185185185185,0.7980769230769231,0.31176137924194336
owf_rf,0.8925233644859814,0.7830188679245284,0.8679312782117234,0.9332561728395061,0.8685026899983124,0.7685185185185185,0.7980769230769231,0.3294658660888672
mrf_rf,0.8738317757009346,0.7610619469026548,0.8581828281110091,0.9301994301994302,0.8588035698487319,0.7049180327868853,0.8269230769230769,2.1392548084259033
xgb,0.8691588785046729,0.7254901960784313,0.8114940586147679,0.9342651946818613,0.8127628558115711,0.74,0.7115384615384616,0.04681825637817383
rf,0.8761682242990654,0.7685589519650655,0.7862575626356347,0.9312381291547959,0.7891859637135656,0.704,0.8461538461538461,0.2340991497039795
xt,0.8154205607476636,0.6638297872340426,0.7090772975460369,0.8884140550807217,0.712325569088079,0.5954198473282443,0.75,0.20160794258117676
ivf_rf,0.8738317757009346,0.765217391304348,0.7928482710133253,0.9336716524216524,0.7956572790460932,0.6984126984126984,0.8461538461538461,1.1803088188171387
swf_rf,0.8761682242990654,0.7685589519650655,0.7869467865029695,0.9316536087369421,0.7898708779352143,0.704,0.8461538461538461,0.30571961402893066
owf_rf,0.8761682242990654,0.7685589519650655,0.7869948136184288,0.9316832858499525,0.7899191478285373,0.704,0.8461538461538461,0.3296821117401123
mrf_rf,0.8738317757009346,0.7711864406779662,0.8238855150053223,0.9393993352326686,0.8252373501473173,0.6893939393939394,0.875,2.1270956993103027
xgb,0.9088785046728972,0.7958115183246074,0.8714680679995758,0.9323065052231719,0.872009313645381,0.8735632183908046,0.7307692307692307,0.03609037399291992
rf,0.897196261682243,0.8053097345132743,0.8641622411380541,0.9366096866096866,0.8649618942796398,0.7459016393442623,0.875,0.2441108226776123
xt,0.8574766355140186,0.7312775330396476,0.81992177828369,0.9142628205128206,0.8207852974486537,0.6747967479674797,0.7980769230769231,0.19896531105041504
ivf_rf,0.883177570093458,0.7826086956521738,0.8709374376957725,0.9378561253561254,0.8716284948925326,0.7142857142857143,0.8653846153846154,1.1666419506072998
swf_rf,0.897196261682243,0.8053097345132743,0.8655769089139754,0.9369361348528015,0.8663559002348312,0.7459016393442623,0.875,0.30690908432006836
owf_rf,0.897196261682243,0.8053097345132743,0.8654228049399997,0.9368767806267806,0.8662027231071575,0.7459016393442623,0.875,0.3270437717437744
mrf_rf,0.866822429906542,0.7615062761506276,0.8856838675614284,0.9412689933523267,0.8861663114746944,0.674074074074074,0.875,2.1084556579589844
xgb,0.8948598130841121,0.7804878048780488,0.8867571914152921,0.9529914529914529,0.8872503714202538,0.7920792079207921,0.7692307692307693,0.06017637252807617
rf,0.866822429906542,0.7510917030567685,0.8681666573878105,0.9447708926875593,0.8687486200140384,0.688,0.8269230769230769,0.24814295768737793
xt,0.8621495327102804,0.7330316742081447,0.8027944744194238,0.9239078822412156,0.8040313831181471,0.6923076923076923,0.7788461538461539,0.19964909553527832
ivf_rf,0.8691588785046729,0.7543859649122807,0.8720475610824499,0.9460173314339981,0.8726011410131934,0.6935483870967742,0.8269230769230769,1.1520147323608398
swf_rf,0.866822429906542,0.7510917030567685,0.8692591887461584,0.9451863722697056,0.8698335330721351,0.688,0.8269230769230769,0.30982112884521484
