method,accuracy,f1_score,prauc,roc,aps,precision,recall,elapsed
xgb,0.7339449541284404,0.6329113924050633,0.7759947812378833,0.8295376121463078,0.7790271526489264,0.7575757575757576,0.5434782608695652,0.04440808296203613
rf,0.7155963302752294,0.5974025974025974,0.808385498312605,0.8716356107660456,0.8111300084821182,0.7419354838709677,0.5,0.23287725448608398
xt,0.7706422018348624,0.7058823529411764,0.798528970405796,0.8436853002070394,0.8011002919590187,0.7692307692307693,0.6521739130434783,0.35877203941345215
ivf_rf,0.7064220183486238,0.5789473684210527,0.811735855399227,0.8737060041407867,0.8144308878388812,0.7333333333333333,0.4782608695652174,0.9465229511260986
swf_rf,0.7064220183486238,0.5789473684210527,0.8082856554569885,0.8712905452035887,0.8110292861505318,0.7333333333333333,0.4782608695652174,0.25127387046813965
owf_rf,0.7064220183486238,0.5789473684210527,0.8086678356293607,0.8716356107660456,0.8114084570302081,0.7333333333333333,0.4782608695652174,0.28405332565307617
mrf_rf,0.7155963302752294,0.5974025974025974,0.7962200409157199,0.8578329882677709,0.7991138563357122,0.7419354838709677,0.5,1.6718177795410156
xgb,0.7155963302752294,0.6265060240963856,0.7470945775282419,0.7836438923395446,0.7501844908638838,0.7027027027027027,0.5652173913043478,0.031159162521362305
rf,0.6880733944954128,0.6136363636363638,0.7291959005805004,0.753623188405797,0.732076091972428,0.6428571428571429,0.5869565217391305,0.7489068508148193
xt,0.7339449541284404,0.7010309278350515,0.7955089320500949,0.8146997929606625,0.7977483389317036,0.6666666666666666,0.7391304347826086,0.17032074928283691
ivf_rf,0.6788990825688074,0.5977011494252873,0.7295166150791107,0.7529330572808834,0.7323850633909655,0.6341463414634146,0.5652173913043478,3.7090866565704346
swf_rf,0.6880733944954128,0.6136363636363638,0.727895721960263,0.7525879917184265,0.7307882119540267,0.6428571428571429,0.5869565217391305,1.0153312683105469
owf_rf,0.6880733944954128,0.6136363636363638,0.727324901479037,0.751552795031056,0.7302188177977663,0.6428571428571429,0.5869565217391305,1.0671734809875488
mrf_rf,0.6880733944954128,0.6136363636363638,0.7291959005805004,0.753623188405797,0.732076091972428,0.6428571428571429,0.5869565217391305,13.526594161987305
xgb,0.7798165137614679,0.6923076923076924,0.835710867375952,0.8605935127674258,0.8375439938472616,0.84375,0.5869565217391305,0.03654789924621582
rf,0.7614678899082569,0.6904761904761905,0.8281385637665198,0.8516218081435473,0.8299480575321418,0.7631578947368421,0.6304347826086957,0.2063124179840088
xt,0.7798165137614679,0.7333333333333332,0.8247910990273164,0.8536922015182885,0.8267399010701255,0.75,0.717391304347826,0.1893784999847412
ivf_rf,0.7431192660550459,0.6744186046511628,0.828518036460586,0.8519668737060042,0.8303254919421307,0.725,0.6304347826086957,0.9789369106292725
swf_rf,0.7614678899082569,0.6904761904761905,0.8285420459804756,0.8516218081435473,0.8303443577269526,0.7631578947368421,0.6304347826086957,0.2847001552581787
owf_rf,0.7614678899082569,0.6904761904761905,0.827106860140398,0.8509316770186335,0.8289329403641054,0.7631578947368421,0.6304347826086957,0.2803361415863037
mrf_rf,0.7614678899082569,0.6666666666666667,0.8299626247231757,0.849896480331263,0.8317163969409883,0.8125,0.5652173913043478,1.7193679809570312
xgb,0.7064220183486238,0.6521739130434783,0.7372131600571705,0.7777777777777778,0.740831661181394,0.6521739130434783,0.6521739130434783,0.031427621841430664
rf,0.6513761467889908,0.62,0.6877946128192515,0.717391304347826,0.691736070640842,0.5740740740740741,0.6739130434782609,0.7683124542236328
xt,0.6605504587155964,0.6407766990291262,0.6996488518284328,0.733264320220842,0.70332021330953,0.5789473684210527,0.717391304347826,0.17697548866271973
ivf_rf,0.6605504587155964,0.6262626262626263,0.6858616650810313,0.7146307798481711,0.6898148530876024,0.5849056603773585,0.6739130434782609,3.466254234313965
swf_rf,0.6605504587155964,0.6262626262626263,0.6867436226227338,0.717391304347826,0.6907032275295485,0.5849056603773585,0.6739130434782609,0.869818925857544
owf_rf,0.6513761467889908,0.62,0.68685271678718,0.7173913043478262,0.6908109856120946,0.5740740740740741,0.6739130434782609,0.9832468032836914
mrf_rf,0.6605504587155964,0.6105263157894736,0.689059400341942,0.7180814354727398,0.6928679268303696,0.5918367346938775,0.6304347826086957,15.176716327667236
xgb,0.7889908256880734,0.7356321839080461,0.8272535600258879,0.849896480331263,0.8292333077745129,0.7804878048780488,0.6956521739130435,0.030255794525146484
rf,0.7981651376146789,0.7555555555555555,0.8310378439820217,0.8492063492063493,0.8330998772787012,0.7727272727272727,0.7391304347826086,0.414715051651001
xt,0.7981651376146789,0.7659574468085107,0.8370206486603178,0.8616287094547964,0.8390694770497392,0.75,0.782608695652174,0.17883682250976562
ivf_rf,0.7798165137614679,0.7209302325581396,0.83950281488501,0.8540372670807452,0.8414165584519829,0.775,0.6739130434782609,1.931443214416504
swf_rf,0.7889908256880734,0.7415730337078652,0.8333525331919772,0.8505866114561768,0.835387053847881,0.7674418604651163,0.717391304347826,0.508948564529419
owf_rf,0.7889908256880734,0.7415730337078652,0.8321366092239338,0.8498964803312631,0.8341851736640884,0.7674418604651163,0.717391304347826,0.5613102912902832
mrf_rf,0.7981651376146789,0.7555555555555555,0.8310378439820217,0.8492063492063493,0.8330998772787012,0.7727272727272727,0.7391304347826086,5.03448486328125
xgb,0.7339449541284404,0.6419753086419753,0.819631905644094,0.852311939268461,0.8216764613804418,0.7428571428571429,0.5652173913043478,0.037818193435668945
rf,0.7706422018348624,0.6913580246913581,0.8567162832503022,0.8916494133885438,0.8584818784422561,0.8,0.6086956521739131,0.21518945693969727
xt,0.7614678899082569,0.6829268292682927,0.8195479818732373,0.8492063492063492,0.8215956278094588,0.7777777777777778,0.6086956521739131,0.17401933670043945
ivf_rf,0.7798165137614679,0.7073170731707318,0.8544980228021225,0.8888888888888888,0.8562692359768063,0.8055555555555556,0.6304347826086957,0.9056429862976074
swf_rf,0.7798165137614679,0.7073170731707318,0.8558396394152463,0.8913043478260869,0.8576226242748733,0.8055555555555556,0.6304347826086957,0.25364232063293457
owf_rf,0.7798165137614679,0.7073170731707318,0.8579388958611315,0.8923395445134575,0.8596721255022276,0.8055555555555556,0.6304347826086957,0.27551960945129395
mrf_rf,0.7706422018348624,0.6987951807228915,0.8616149194142585,0.8954451345755694,0.8632606006291677,0.7837837837837838,0.6304347826086957,1.6412780284881592
xgb,0.7247706422018348,0.5833333333333333,0.7789570819113819,0.7984817115251899,0.7814749109098684,0.8076923076923077,0.45652173913043476,0.03628849983215332
rf,0.7706422018348624,0.6835443037974683,0.8305048734135966,0.8481711525189787,0.8324553319020113,0.8181818181818182,0.5869565217391305,0.20219945907592773
xt,0.7798165137614679,0.7551020408163265,0.808340641855938,0.8222912353347135,0.8104752660746861,0.7115384615384616,0.8043478260869565,0.1775050163269043
ivf_rf,0.7706422018348624,0.6913580246913581,0.8335584486643034,0.8505866114561766,0.8354800427794958,0.8,0.6086956521739131,0.9336156845092773
swf_rf,0.7706422018348624,0.6835443037974683,0.8311218157373778,0.847135955831608,0.8330476543126811,0.8181818181818182,0.5869565217391305,0.2591533660888672
owf_rf,0.7706422018348624,0.6835443037974683,0.8311645477682954,0.847135955831608,0.8330916741434508,0.8181818181818182,0.5869565217391305,0.28186464309692383
mrf_rf,0.7339449541284404,0.6588235294117647,0.8101459070784834,0.8243616287094547,0.8122884333385956,0.717948717948718,0.6086956521739131,1.6335792541503906
xgb,0.8440366972477065,0.8089887640449438,0.8771101256717664,0.8906142167011732,0.8783845363136294,0.8372093023255814,0.782608695652174,0.04889059066772461
rf,0.7339449541284404,0.7238095238095238,0.8157098230200789,0.8291925465838508,0.8175833936449586,0.6440677966101694,0.8260869565217391,0.7064590454101562
xt,0.7247706422018348,0.7058823529411765,0.8242628856042112,0.8509316770186336,0.8261004313392629,0.6428571428571429,0.782608695652174,0.17885494232177734
ivf_rf,0.7155963302752294,0.7047619047619047,0.813549332552345,0.8260869565217391,0.8154399586828166,0.6271186440677966,0.8043478260869565,3.343334674835205
swf_rf,0.7339449541284404,0.7238095238095238,0.8186847513088896,0.831608005521049,0.8205104198721709,0.6440677966101694,0.8260869565217391,0.8810911178588867
owf_rf,0.7339449541284404,0.7238095238095238,0.8187230994181421,0.8312629399585921,0.8205322971755806,0.6440677966101694,0.8260869565217391,1.000661849975586
