method,accuracy,f1_score,prauc,roc,aps,precision,recall,elapsed
xgb,0.8233333333333334,0.45529290853031856,0.5609540290157217,0.7760827121637537,0.5612228665442204,0.715670436187399,0.333835719668425,0.08039975166320801
rf,0.7858333333333334,0.5448104852993269,0.5656851261879348,0.7841105189732547,0.5659689673874847,0.5140374331550802,0.5795026375282593,1.510634183883667
xt,0.7726666666666666,0.530949105914718,0.5447477968792682,0.7785129375232117,0.5451000135654178,0.4882985452245414,0.5817633760361718,0.5476446151733398
ivf_rf,0.786,0.5450035435861091,0.5657837796972067,0.7840869746532495,0.5660677034965158,0.51438127090301,0.5795026375282593,10.031546354293823
swf_rf,0.7858333333333334,0.5448104852993269,0.5656997441167148,0.7841176145217496,0.5659835601047839,0.5140374331550802,0.5795026375282593,2.7814106941223145
owf_rf,0.786,0.5450035435861091,0.5656918195038495,0.7841205172461336,0.5659756620177099,0.51438127090301,0.5795026375282593,2.2608959674835205
mrf_rf,0.7856666666666666,0.5400572246065808,0.5667334885150583,0.7820018509705824,0.5670172009498002,0.5139550714771953,0.5689525244913338,23.91243577003479
xgb,0.8096666666666666,0.3242603550295858,0.557884455844642,0.7786155810826871,0.5581327818363395,0.7548209366391184,0.20648078372268275,0.1824324131011963
rf,0.7891666666666667,0.5496618013527945,0.5681487676489693,0.7857476555259567,0.568419256907838,0.5209176788124157,0.5817633760361718,1.450225830078125
xt,0.784,0.5394456289978679,0.5512746705404157,0.7734565529083605,0.5515384060505861,0.5104236718224613,0.5719668425018839,0.2668609619140625
ivf_rf,0.7893333333333333,0.5495367070563079,0.5681720235236282,0.7857545898119858,0.5684421673504706,0.5212981744421906,0.5810097965335342,10.453550338745117
swf_rf,0.789,0.5491452991452992,0.568140692201631,0.7857336256914331,0.5684111453562688,0.5205941931127617,0.5810097965335342,2.9867522716522217
owf_rf,0.789,0.5491452991452992,0.5681433605595599,0.7857353995785565,0.5684137943383141,0.5205941931127617,0.5810097965335342,2.478367328643799
mrf_rf,0.791,0.5508595988538683,0.5680936624653858,0.7850916398151223,0.5683590202393686,0.5249146757679181,0.5795026375282593,23.621713876724243
xgb,0.819,0.43788819875776397,0.5539956386047548,0.7824640291975371,0.5543724668860329,0.6991735537190082,0.31876412961567446,0.0702667236328125
rf,0.7818333333333334,0.5405405405405406,0.5545158633755806,0.7814563000488142,0.5548562094278265,0.5059132720105125,0.5802562170308968,0.5773069858551025
xt,0.7781666666666667,0.5424544517016155,0.5431617704688532,0.7866321801508159,0.5435569753228794,0.49873577749683945,0.5945742275810098,0.5369057655334473
ivf_rf,0.7821666666666667,0.5412425412425412,0.5548838511507935,0.7813858283512639,0.5552220030212938,0.5065703022339028,0.5810097965335342,3.9802582263946533
swf_rf,0.782,0.5407303370786517,0.5546194436578,0.7814493657627852,0.5549591664672926,0.5062458908612755,0.5802562170308968,0.9831433296203613
owf_rf,0.782,0.5407303370786517,0.5546162437860187,0.7814500108126483,0.5549559855270721,0.5062458908612755,0.5802562170308968,0.8580625057220459
mrf_rf,0.781,0.537649542575651,0.5569190652607915,0.7800065504813605,0.5572432563068398,0.5042904290429043,0.5757347400150716,6.450099945068359
xgb,0.8093333333333333,0.4054054054054054,0.5268997388470845,0.7629690097081617,0.5272831121672485,0.6532663316582915,0.293896006028636,0.048648834228515625
rf,0.7808333333333334,0.5291800930898676,0.5292360408077086,0.7696991374554492,0.5296051050971864,0.5040927694406548,0.5568952524491334,1.4585590362548828
xt,0.7673333333333333,0.5225718194254446,0.5199425574466863,0.7688354156886771,0.5203363538408723,0.47839699436443334,0.5757347400150716,0.5462052822113037
ivf_rf,0.781,0.5293696275071633,0.5292927049655091,0.7697022014422992,0.5296613485622009,0.5044368600682594,0.5568952524491334,9.637738466262817
swf_rf,0.7808333333333334,0.5291800930898676,0.5292651287886632,0.7696968797809282,0.5296342649860956,0.5040927694406548,0.5568952524491334,2.650696039199829
owf_rf,0.7808333333333334,0.5291800930898676,0.5292517477035817,0.769700105030244,0.529620953998177,0.5040927694406548,0.5568952524491334,2.4645638465881348
mrf_rf,0.7836666666666666,0.5297101449275363,0.5282753952929798,0.768654801726992,0.5286619420876231,0.5101186322400558,0.5508666164280331,21.65714168548584
xgb,0.7788333333333334,0.0,0.5322308719864086,0.762756627040716,0.5159930415388356,0.0,0.0,0.03487563133239746
rf,0.7948333333333333,0.5459240132792328,0.5404551801156117,0.7731777301050093,0.5408085601686076,0.5346820809248555,0.557648831951771,1.464832067489624
xt,0.7771666666666667,0.5263903648600778,0.5229236025646247,0.7681702080172925,0.5233673899382155,0.4966577540106952,0.5599095704596835,0.5387718677520752
ivf_rf,0.7951666666666667,0.5466617484323127,0.5406169742590667,0.7732322368184463,0.5409701573531638,0.5354046242774566,0.5584024114544084,9.580129146575928
swf_rf,0.795,0.5461254612546125,0.5404871081778309,0.7731956302387121,0.5408404610130841,0.5350686912509038,0.557648831951771,2.587106943130493
