method,accuracy,f1_score,prauc,roc,aps,precision,recall,elapsed
xgb,0.8986212489862125,0.6212121212121212,0.7044386044117641,0.9264076333269688,0.7050698781816913,0.737410071942446,0.5366492146596858,0.06383037567138672
rf,0.8730738037307381,0.6659551760939169,0.7157505892049396,0.9303468963230196,0.716350201286815,0.5621621621621622,0.8167539267015707,0.28181934356689453
xt,0.767639902676399,0.5228975853455454,0.6204343190532662,0.8837628503381535,0.6210627569751316,0.3833943833943834,0.8219895287958116,0.2281041145324707
ivf_rf,0.8742903487429035,0.6695095948827293,0.7237469495165184,0.9324949000612998,0.7243150235515275,0.564748201438849,0.8219895287958116,2.849310874938965
swf_rf,0.8734793187347932,0.6680851063829787,0.718281018558514,0.9311332415511853,0.7188715657319635,0.5627240143369175,0.8219895287958116,1.3431262969970703
owf_rf,0.8734793187347932,0.6680851063829787,0.7183993977924416,0.9311520836892403,0.7189892901513742,0.5627240143369175,0.8219895287958116,0.8470237255096436
mrf_rf,0.875506893755069,0.6716577540106952,0.7376796842885639,0.9358688989156978,0.7381772511247623,0.5678119349005425,0.8219895287958116,4.408682584762573
xgb,0.9055150040551501,0.6618287373004353,0.7389813781436362,0.9265188019414939,0.7394346131166223,0.742671009771987,0.5968586387434555,0.05207371711730957
rf,0.8653690186536902,0.6548856548856549,0.7603976921911787,0.9315590738712303,0.7607211611317312,0.5431034482758621,0.824607329842932,0.2851095199584961
xt,0.7696674776966748,0.521885521885522,0.6042386455498661,0.8756092291304479,0.6049278456002652,0.38461538461538464,0.8115183246073299,0.2252054214477539
ivf_rf,0.8653690186536902,0.6534446764091858,0.7665196937493575,0.9330300167820643,0.766827915206509,0.5434027777777778,0.819371727748691,2.8706562519073486
swf_rf,0.8657745336577454,0.6555671175858481,0.7630005941790676,0.932139411723327,0.7633167240378617,0.5440414507772021,0.824607329842932,1.3526594638824463
owf_rf,0.8657745336577454,0.6555671175858481,0.7629830182588953,0.932131874868105,0.7632990953314597,0.5440414507772021,0.824607329842932,0.8819708824157715
mrf_rf,0.8686131386861314,0.6560509554140128,0.7722205336527492,0.9349054375898143,0.7725258050210858,0.5517857142857143,0.8089005235602095,4.336201906204224
xgb,0.8994322789943228,0.6342182890855458,0.7242580739483235,0.9200207765975621,0.7246630266447225,0.7263513513513513,0.56282722513089,0.052039146423339844
rf,0.8657745336577454,0.6504751847940866,0.7018986756294245,0.9215224950005527,0.7023617159102303,0.5451327433628319,0.806282722513089,0.2807323932647705
xt,0.7429034874290349,0.4845528455284553,0.5254771911508933,0.8484313291997869,0.5266703759210465,0.35141509433962265,0.7801047120418848,0.22995471954345703
