method,accuracy,f1_micro,f1_macro,elapsed
xgb,0.9813551614370168,0.9813551614370168,0.9814445014083398,0.23676466941833496
rf,0.9809004092769441,0.9809004092769441,0.9810648747322889,0.3158078193664551
xt,0.9713506139154161,0.9713506139154161,0.9715266749835134,0.22350692749023438
ivf_rf,0.9809004092769441,0.9809004092769441,0.9810648747322889,1.4245684146881104
swf_rf,0.19554342883128695,0.19554342883128695,0.11405415565835779,0.5010552406311035
owf_rf,0.19554342883128695,0.19554342883128695,0.11405415565835779,0.5235903263092041
mrf_rf,0.9836289222373806,0.9836289222373806,0.9837300543952197,5.487144708633423
xgb,0.9781718963165075,0.9781718963165075,0.9785338876464438,0.23483633995056152
rf,0.9763528876762164,0.9763528876762164,0.9767177677647085,0.29459285736083984
xt,0.9740791268758526,0.9740791268758526,0.9743944398200547,0.4563913345336914
ivf_rf,0.9768076398362893,0.9768076398362893,0.9771536288020796,1.402968406677246
swf_rf,0.19508867667121418,0.19508867667121418,0.11317686225551396,0.492063045501709
owf_rf,0.19508867667121418,0.19508867667121418,0.11317686225551396,0.48990702629089355
mrf_rf,0.977262391996362,0.977262391996362,0.9775934874814739,5.452278137207031
xgb,0.9795361527967258,0.9795361527967258,0.9798006491862605,0.21147680282592773
rf,0.9804456571168713,0.9804456571168713,0.9806400298112632,0.2935516834259033
xt,0.9686221009549796,0.9686221009549796,0.9687100155993112,0.4401407241821289
ivf_rf,0.9799909049567985,0.9799909049567985,0.9801974712437248,1.3221409320831299
swf_rf,0.197362437471578,0.197362437471578,0.11384036576864723,0.4751589298248291
owf_rf,0.197362437471578,0.197362437471578,0.11384036576864723,0.501723051071167
mrf_rf,0.9795361527967258,0.9795361527967258,0.9797268140293299,5.31125020980835
xgb,0.9813551614370168,0.9813551614370168,0.9815097655000944,0.22170710563659668
rf,0.9822646657571623,0.9822646657571623,0.9826028663462564,0.3295128345489502
xt,0.9749886311959982,0.9749886311959982,0.9752270055618437,0.45964789390563965
ivf_rf,0.9822646657571623,0.9822646657571623,0.9826028663462564,1.3841638565063477
swf_rf,0.19508867667121418,0.19508867667121418,0.11358903937928802,0.49086642265319824
owf_rf,0.19508867667121418,0.19508867667121418,0.11358903937928802,0.4790832996368408
mrf_rf,0.9831741700773079,0.9831741700773079,0.9834685147790541,5.328463554382324
xgb,0.975443383356071,0.975443383356071,0.9755580650615843,0.28975653648376465
rf,0.9799909049567985,0.9799909049567985,0.9802010741142763,0.30563879013061523
xt,0.9681673487949067,0.9681673487949067,0.9683730765520066,0.49117136001586914
ivf_rf,0.9804456571168713,0.9804456571168713,0.9806556999847709,1.408390760421753
swf_rf,0.19463392451114142,0.1946339245111414,0.11251038430225797,0.48502349853515625
