method,accuracy,f1_micro,f1_macro,elapsed
xgb,0.7377892030848329,0.7377892030848329,0.6960299066231037,0.14639639854431152
rf,0.7377892030848329,0.7377892030848329,0.7489923100784176,0.2526993751525879
xt,0.6889460154241646,0.6889460154241646,0.6819289478420462,0.18924951553344727
ivf_rf,0.7377892030848329,0.7377892030848329,0.7502018128169503,0.6749262809753418
swf_rf,0.42159383033419023,0.42159383033419023,0.16050774335782417,0.31076836585998535
owf_rf,0.42159383033419023,0.42159383033419023,0.16050774335782417,0.3615145683288574
mrf_rf,0.7583547557840618,0.7583547557840619,0.7724859870180267,2.8249740600585938
xgb,0.7634961439588689,0.7634961439588689,0.7697844400771068,0.19230318069458008
rf,0.7352185089974294,0.7352185089974294,0.7663183867010624,0.232865571975708
xt,0.6966580976863753,0.6966580976863753,0.7283607213185628,0.19704842567443848
ivf_rf,0.7352185089974294,0.7352185089974294,0.7663183867010624,0.6946029663085938
swf_rf,0.4241645244215938,0.4241645244215938,0.16455343756693083,0.33225417137145996
owf_rf,0.4241645244215938,0.4241645244215938,0.16455343756693083,0.3257331848144531
mrf_rf,0.7377892030848329,0.7377892030848329,0.7635315740037416,2.6753695011138916
xgb,0.7506426735218509,0.750642673521851,0.7556875821847384,0.12045764923095703
rf,0.7634961439588689,0.7634961439588689,0.7770552962411508,0.2476656436920166
xt,0.6966580976863753,0.6966580976863753,0.704414019160563,0.19588732719421387
ivf_rf,0.7634961439588689,0.7634961439588689,0.7770552962411508,0.6816637516021729
swf_rf,0.41645244215938304,0.41645244215938304,0.1582360865845,0.303804874420166
owf_rf,0.41645244215938304,0.41645244215938304,0.1582360865845,0.3395836353302002
mrf_rf,0.7634961439588689,0.7634961439588689,0.776168806110636,2.8239200115203857
xgb,0.7326478149100257,0.7326478149100258,0.7663314744028927,0.11748123168945312
rf,0.7377892030848329,0.7377892030848329,0.7897696588437689,0.25383973121643066
xt,0.7043701799485861,0.7043701799485861,0.7268154945318371,0.19109010696411133
ivf_rf,0.7403598971722365,0.7403598971722365,0.7910641243110427,0.707982063293457
swf_rf,0.4190231362467866,0.4190231362467866,0.16148782093482555,0.30333757400512695
owf_rf,0.4190231362467866,0.4190231362467866,0.16148782093482555,0.3265261650085449
