method,accuracy,f1_micro,f1_macro,elapsed
xgb,0.9945705824284304,0.9945705824284304,0.9826566996668404,0.1674184799194336
rf,0.9970384995064165,0.9970384995064165,0.9895752895752896,0.27341294288635254
xt,0.9975320829220138,0.9975320829220138,0.9920972582927542,0.21431446075439453
ivf_rf,0.9970384995064165,0.9970384995064165,0.9895752895752896,1.00111985206604
swf_rf,0.857847976307996,0.857847976307996,0.4798882681564246,0.37227320671081543
owf_rf,0.857847976307996,0.857847976307996,0.4798882681564246,0.3945624828338623
mrf_rf,0.9970384995064165,0.9970384995064165,0.9895752895752896,2.7427098751068115
xgb,0.9950641658440277,0.9950641658440277,0.9836336037975382,0.18273448944091797
rf,0.9975320829220138,0.9975320829220138,0.9916161621571633,0.26999354362487793
xt,0.9960513326752222,0.9960513326752222,0.986408026570346,0.23262429237365723
ivf_rf,0.9975320829220138,0.9975320829220138,0.9916161621571633,1.0057003498077393
swf_rf,0.8573543928923988,0.8573543928923988,0.47846144551928294,0.40516114234924316
owf_rf,0.8573543928923988,0.8573543928923988,0.47846144551928294,0.39489316940307617
mrf_rf,0.9985192497532083,0.9985192497532083,0.9950944230267286,2.697199821472168
xgb,0.9970384995064165,0.9970384995064165,0.9905920757891228,0.29303574562072754
rf,0.998025666337611,0.998025666337611,0.9925953487760024,0.27995991706848145
xt,0.998025666337611,0.998025666337611,0.9941270653878529,0.2124958038330078
ivf_rf,0.998025666337611,0.998025666337611,0.9925953487760024,0.9575481414794922
swf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.4164252281188965
owf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.4025142192840576
mrf_rf,0.998025666337611,0.998025666337611,0.9925953487760024,2.7748541831970215
xgb,0.9930898321816387,0.9930898321816387,0.9762515352679287,0.17613720893859863
rf,0.9945705824284304,0.9945705824284304,0.9812040343087992,0.2593538761138916
xt,0.9945705824284304,0.9945705824284304,0.9819523361807418,0.2151036262512207
ivf_rf,0.9945705824284304,0.9945705824284304,0.9812040343087992,0.9684581756591797
swf_rf,0.8573543928923988,0.8573543928923988,0.47846144551928294,0.38761305809020996
owf_rf,0.8573543928923988,0.8573543928923988,0.47846144551928294,0.40515613555908203
mrf_rf,0.9950641658440277,0.9950641658440277,0.982942972973586,2.7123446464538574
xgb,0.9940769990128332,0.9940769990128332,0.9798734552190216,0.19389891624450684
rf,0.9955577492596249,0.9955577492596249,0.9843597262952102,0.26905107498168945
xt,0.9960513326752222,0.9960513326752222,0.9861050803300043,0.21395063400268555
ivf_rf,0.9955577492596249,0.9955577492596249,0.9843597262952102,0.9737992286682129
swf_rf,0.857847976307996,0.857847976307996,0.4798882681564246,0.3717000484466553
owf_rf,0.857847976307996,0.857847976307996,0.4798882681564246,0.39186668395996094
mrf_rf,0.9965449160908193,0.9965449160908193,0.9878353426740523,2.659262180328369
xgb,0.9955577492596249,0.9955577492596249,0.9834418830256406,0.18879103660583496
rf,0.9970384995064165,0.9970384995064165,0.9891179136373407,0.2642977237701416
xt,0.9970384995064165,0.9970384995064165,0.9891179136373407,0.20914506912231445
ivf_rf,0.9970384995064165,0.9970384995064165,0.9891179136373407,0.9775018692016602
swf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.39244580268859863
owf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.39286303520202637
mrf_rf,0.9975320829220138,0.9975320829220138,0.990853697001238,2.7307076454162598
xgb,0.9950641658440277,0.9950641658440277,0.9832519085608458,0.2358100414276123
rf,0.9960513326752222,0.9960513326752222,0.9856493650175466,0.2627451419830322
xt,0.9940769990128332,0.9940769990128332,0.9803186436639518,0.21765995025634766
ivf_rf,0.9955577492596249,0.9955577492596249,0.9847089596907488,0.974388837814331
swf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.4239382743835449
owf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.41587281227111816
mrf_rf,0.9965449160908193,0.9965449160908193,0.9881672151249432,2.692366361618042
xgb,0.9960513326752222,0.9960513326752222,0.9876376919359908,0.22609496116638184
rf,0.9975320829220138,0.9975320829220138,0.9920972582927542,0.27282190322875977
xt,0.9955577492596249,0.9955577492596249,0.985948650986131,0.2812042236328125
ivf_rf,0.9975320829220138,0.9975320829220138,0.9920972582927542,0.9966235160827637
swf_rf,0.857847976307996,0.857847976307996,0.4798882681564246,0.3727867603302002
owf_rf,0.857847976307996,0.857847976307996,0.4798882681564246,0.48248744010925293
mrf_rf,0.9970384995064165,0.9970384995064165,0.990358138181748,3.0167694091796875
xgb,0.9960513326752222,0.9960513326752222,0.9859187507349144,0.17557120323181152
rf,0.9975320829220138,0.9975320829220138,0.9908427721377362,0.27063441276550293
xt,0.998025666337611,0.998025666337611,0.9938355630755089,0.21828079223632812
ivf_rf,0.9975320829220138,0.9975320829220138,0.9908427721377362,0.9906740188598633
