method,accuracy,f1_micro,f1_macro,elapsed
xgb,0.9545454545454546,0.9545454545454546,0.954346983048623,0.13034844398498535
rf,0.9502164502164502,0.9502164502164502,0.9500618408636693,0.23289847373962402
xt,0.9372294372294372,0.9372294372294372,0.9365213675040124,0.1863231658935547
ivf_rf,0.9502164502164502,0.9502164502164502,0.9500618408636693,0.7195940017700195
swf_rf,0.2683982683982684,0.2683982683982684,0.17277855619859883,0.2969851493835449
owf_rf,0.2683982683982684,0.2683982683982684,0.17277855619859883,0.3319377899169922
mrf_rf,0.9567099567099567,0.9567099567099567,0.9565105457694878,2.699068307876587
xgb,0.9437229437229437,0.9437229437229437,0.9447588499964509,0.18618988990783691
rf,0.9632034632034632,0.9632034632034632,0.9632943759832765,0.24657917022705078
xt,0.9458874458874459,0.945887445887446,0.9460259676204281,0.2016308307647705
ivf_rf,0.9632034632034632,0.9632034632034632,0.9632943759832765,0.7005298137664795
swf_rf,0.26406926406926406,0.26406926406926406,0.1701176975373029,0.29952120780944824
owf_rf,0.26406926406926406,0.26406926406926406,0.1701176975373029,0.32001662254333496
mrf_rf,0.9653679653679653,0.9653679653679653,0.9654063937745357,2.5882298946380615
xgb,0.9761904761904762,0.9761904761904762,0.9763151158077067,0.14315295219421387
rf,0.9675324675324676,0.9675324675324676,0.9676115011664493,0.23711657524108887
xt,0.9415584415584416,0.9415584415584416,0.9415219652601275,0.19190025329589844
ivf_rf,0.9675324675324676,0.9675324675324676,0.9676115011664493,0.7187497615814209
swf_rf,0.2792207792207792,0.2792207792207792,0.1791019325502084,0.3091273307800293
owf_rf,0.2792207792207792,0.2792207792207792,0.1791019325502084,0.3314497470855713
mrf_rf,0.9696969696969697,0.9696969696969697,0.9698042167696883,2.8086702823638916
xgb,0.9696969696969697,0.9696969696969697,0.970050380726608,0.263028621673584
rf,0.9653679653679653,0.9653679653679653,0.9655122326308382,0.2463226318359375
xt,0.948051948051948,0.948051948051948,0.9481872899391063,0.21702194213867188
ivf_rf,0.9675324675324676,0.9675324675324676,0.9677089052688813,0.7179458141326904
swf_rf,0.2662337662337662,0.2662337662337662,0.17244057790896378,0.3581979274749756
owf_rf,0.2662337662337662,0.2662337662337662,0.17244057790896378,0.33643054962158203
