method,mae,rmse,mape,r2,time
xgb,12788.264147974598,19598.699354187484,24.790858103984018,-0.0014771803557611651,0.31162381172180176
rf,11608.621688447658,18590.89488558129,23.502111652360675,0.0988706252855388,4.76837158203125e-07
xt,11323.948887574448,18395.86046706927,22.086389360937453,0.1176786874150133,4.76837158203125e-07
ivf_rf,11027.94785547835,18539.301703319157,21.606309263927226,0.1038652874802658,5.088212728500366
swf_rf,11469.814536448468,18420.88427233799,23.213841315458158,0.11527661943274148,5.309195280075073
owf_rf,11468.66799948196,18415.978973289628,23.201231446009878,0.11574774284520817,7.461374044418335
mrf_rf,11277.740159502913,18119.692356124062,23.272412716367814,0.14397155568018116,6.796104907989502
xgb,12978.85548702248,24305.19327288583,17.162060522059754,-0.0010878148720954162,0.27925944328308105
rf,11723.663264232217,23371.522781957603,14.276478930697548,0.07434737437086403,9.5367431640625e-07
xt,11774.790122716659,23581.75473757383,13.533873418254007,0.057619580788835334,1.1920928955078125e-06
ivf_rf,10843.618928375352,22812.61489906714,13.25362500973876,0.11809022599931884,4.933265924453735
swf_rf,11559.197368183444,23216.99183467858,14.145136410308544,0.08654761364680974,5.554649829864502
owf_rf,11581.727402879505,23249.189770756187,14.156509843987344,0.08401225713504024,6.834860324859619
mrf_rf,11378.54217037697,23013.697252078724,14.064428703926685,0.10247447465145487,6.220118045806885
xgb,18910.41702365677,424295.4236060924,19.684157992282035,-0.00024181687551250164,0.2881438732147217
rf,17074.056290896053,424266.4174298265,17.21482396290733,-0.00010506216585493,4.76837158203125e-07
xt,16946.872143756435,424272.6934727232,16.579812658432722,-0.00013465087916397778,9.5367431640625e-07
ivf_rf,16833.46829054829,424240.2489489781,16.602239083181523,1.8305708566090928e-05,3.2211549282073975
swf_rf,17056.38036529685,424265.8882699374,17.196097552743762,-0.00010256743550662861,3.727931499481201
owf_rf,17055.741191297406,424265.9256659964,17.19438839238569,-0.00010274373955176941,4.8839263916015625
mrf_rf,16270.745134515377,424244.56356857275,16.459435366652908,-2.0344763316249015e-06,3.640192985534668
xgb,18988.184568282224,424204.6870386497,25.313356732196986,-0.00022623217482187208,0.2986733913421631
rf,17145.563206924664,424173.0826584033,21.681446220007707,-7.719868430089427e-05,2.384185791015625e-07
xt,16991.442075647068,424169.7749711332,21.376996092548822,-6.160160915924529e-05,7.152557373046875e-07
ivf_rf,16948.223306910495,424151.2679413839,21.313265975190266,2.566423172600807e-05,3.2871079444885254
swf_rf,17127.651613847793,424172.6743035469,21.65842795064225,-7.527312041655243e-05,3.6104276180267334
owf_rf,17127.603604168267,424172.6339512816,21.657485680444065,-7.508284271495747e-05,4.607985258102417
mrf_rf,16342.35328773314,424159.6865832668,20.55890117848325,-1.4031556105464915e-05,3.7329046726226807
xgb,12528.171178615514,18141.165689438236,28.150045518578683,-0.001717950016337344,0.3473069667816162
rf,11295.788487325284,16793.570423184807,26.570370922894863,0.14157737441344798,4.76837158203125e-07
xt,11202.964505004767,16962.966898787654,25.29864881169586,0.12417224175383801,7.152557373046875e-07
ivf_rf,10371.266910721297,16072.153626442734,23.93071129072047,0.21374535126357497,5.043086290359497
swf_rf,11101.705270457058,16575.412801160084,25.91303519031721,0.16373526639629976,5.685046672821045
owf_rf,11111.026858767955,16589.38442576763,26.003828745029107,0.16232487603601709,7.732562303543091
mrf_rf,10903.347375634019,16331.795981370922,24.942060300227674,0.18813659044828246,6.7043657302856445
xgb,19098.632991164242,424423.76179712114,22.650216374623195,-0.00028453526380656236,0.3941078186035156
rf,17224.41867795295,424387.8228571372,19.852365521419483,-0.0001151402059362816,9.5367431640625e-07
xt,17101.993567688693,424395.34599581984,19.196376220545062,-0.0001505986766197065,7.152557373046875e-07
ivf_rf,17053.10664873929,424408.37827210437,18.959564145637035,-0.00021202460495706177,3.2423436641693115
swf_rf,17206.771593604706,424387.5962498505,19.82092617937666,-0.00011407215777126112,3.581430435180664
owf_rf,17206.454553555715,424387.5580765473,19.81994140879877,-0.00011389223895941214,4.8711888790130615
mrf_rf,16519.740807507118,424357.58803062636,18.183849324678857,2.735790068553179e-05,3.537814140319824
xgb,19029.12790735447,424198.7153069331,24.469115881299324,-0.00021972866678265923,0.31165432929992676
rf,17189.06609868605,424164.1401123207,22.344063169583283,-5.6685351680574314e-05,2.384185791015625e-07
xt,17047.849887490916,424166.7670322638,21.377163635528287,-6.907242893428034e-05,4.76837158203125e-07
ivf_rf,16838.17814116819,424135.41500563116,22.177868357988096,7.876109253501795e-05,3.2819700241088867
swf_rf,17167.705647407773,424163.51611915446,22.321115918999695,-5.374296207483198e-05,3.6326403617858887
owf_rf,17169.475476297313,424163.6321203125,22.322314122224547,-5.42899558813037e-05,4.463761806488037
mrf_rf,16322.56964549989,424132.1863301801,21.582261233303853,9.398457425757734e-05,3.615633964538574
xgb,13078.209292976871,23869.074408867607,18.005536058137157,0.001783659037290608,0.28131103515625
rf,11845.202688492622,22874.530171883423,15.831390064561456,0.08323529714986655,4.76837158203125e-07
xt,12914.21850794912,23668.096643579116,17.715789182113166,0.018522865441623626,4.76837158203125e-07
ivf_rf,10974.95918798284,22270.07637856426,14.565722548640801,0.13104571046658609,5.0408360958099365
swf_rf,11683.539298037798,22694.364167195996,15.69193507220981,0.09761980002770032,5.688915252685547
owf_rf,11672.184455792507,22683.736767049053,15.692003930654147,0.09846474196917765,6.9654154777526855
mrf_rf,11638.34073653453,22594.587064589363,15.79138196465776,0.10553709217355256,6.348891496658325
xgb,18900.09979311493,424226.30543362175,19.45485373571754,-0.0002838537218838866,0.28518223762512207
