method,mae,rmse,mape,r2,time
xgb,0.11514787202613036,0.24669158438504096,240655757357931.5,0.014081766027338904,0.05615067481994629
rf,0.11105851247072511,0.24152390179735217,233175549057864.2,0.054955057437747645,2.384185791015625e-07
xt,0.11181609245666095,0.24241052068271612,233294962963734.6,0.04800392244517382,9.5367431640625e-07
ivf_rf,0.11105851247072514,0.24152390179735217,233175549057864.25,0.054955057437747645,0.41069841384887695
swf_rf,0.11093196812211674,0.24154734182879506,232550168321392.56,0.054771614242849265,0.30144357681274414
owf_rf,0.11104954460374708,0.24152468860538298,233132114137225.28,0.0549489001162079,0.34841251373291016
mrf_rf,0.10864657442570265,0.2435253032023393,219398984829110.56,0.03922782781692569,0.5546329021453857
xgb,0.10726369265386987,0.2254492028694872,254036203208985.28,0.02100163623593765,0.04679465293884277
rf,0.10496936364212282,0.22407012422075853,249745352655217.5,0.032942121071478425,4.76837158203125e-07
xt,0.105284602835016,0.22359245955969,249839279181853.66,0.037060805017710585,9.5367431640625e-07
ivf_rf,0.10496936364212281,0.22407012422075853,249745352655217.38,0.032942121071478425,0.6746442317962646
swf_rf,0.10484725226017393,0.22406089644677998,249170558010451.22,0.0330217712060944,0.5306973457336426
owf_rf,0.10495631704525647,0.22406868546326902,249685328860315.25,0.03295454001669884,0.602792501449585
mrf_rf,0.10118279334926608,0.2242694813621092,230719557824097.44,0.031220555928791915,0.9141836166381836
xgb,0.11433245291525714,0.24338648750539138,244672227159842.56,0.016539286820730692,0.08638334274291992
rf,0.11099672356600518,0.238963870858027,239869806195517.25,0.05195581544351591,4.76837158203125e-07
xt,0.11106171709961898,0.23908111034448953,237643498296962.3,0.051025336049412395,4.76837158203125e-07
ivf_rf,0.11099672356600518,0.23896387085802698,239869806195517.3,0.05195581544351613,0.3921627998352051
swf_rf,0.11085828549207334,0.23893285295817063,239249250993665.47,0.05220191483063252,0.3099358081817627
owf_rf,0.11098369269727923,0.23896021888320285,239811668663936.38,0.05198479226771868,0.3547844886779785
mrf_rf,0.10744935711787929,0.2387387784005023,223133137051653.72,0.05374099819477707,0.48078107833862305
xgb,0.10862049810556383,0.23057780266436548,248317163425282.2,0.019133955912709832,0.061901092529296875
rf,0.1048814766923372,0.22586869458915515,240331611657616.5,0.05878943894884803,4.76837158203125e-07
xt,0.10517579008223713,0.22583152427598088,240488931984117.56,0.05909919601989444,1.1920928955078125e-06
ivf_rf,0.10488147669233717,0.22586869458915518,240331611657616.38,0.058789438948847916,1.3910861015319824
swf_rf,0.10476509870047845,0.2258644903639093,239783769010826.12,0.05882447722081474,1.0935792922973633
owf_rf,0.10487045989320519,0.22586856373012237,240279048480001.56,0.05879052954591546,1.2493398189544678
mrf_rf,0.1006352560070587,0.22746504281720512,217080664748184.8,0.045438236442314595,2.5562570095062256
xgb,0.11465955069328582,0.24341333000191645,246319003566558.2,0.016322347936721826,0.05406498908996582
rf,0.10997033338894847,0.23751559035893752,235489233688115.2,0.06341255280773184,4.76837158203125e-07
xt,0.11131618620713553,0.23881655639050314,238433121401433.22,0.05312434000183819,7.152557373046875e-07
ivf_rf,0.10997033338894847,0.23751559035893752,235489233688115.16,0.06341255280773184,1.3972830772399902
swf_rf,0.10985092156390777,0.2375067724172674,234922031864563.6,0.06348209451789333,1.1887423992156982
owf_rf,0.10995913378587491,0.23751418927389573,235437591780146.6,0.0634236024806415,1.262605905532837
mrf_rf,0.10433359228671088,0.23880060230785516,205402454748212.75,0.05325084737780206,2.612884283065796
xgb,0.10809849909958409,0.22555891151550436,257394207101782.4,0.020048599220805485,0.034958600997924805
rf,0.1037036690075005,0.22029780771560767,246950987080110.28,0.06522969338502005,1.1920928955078125e-06
xt,0.104509734020086,0.2205193590092945,249097309970191.66,0.06334856972011549,1.1920928955078125e-06
ivf_rf,0.1037036690075005,0.22029780771560767,246950987080110.2,0.06522969338502005,1.3981332778930664
swf_rf,0.10358162889622902,0.22028115732210038,246390434882924.9,0.06537099034499205,1.1011669635772705
owf_rf,0.10369137163726817,0.2202950001752681,246896152223922.66,0.06525351921105227,1.2219009399414062
mrf_rf,0.09927578252637448,0.22201499975486366,222384557971180.06,0.05060007697342528,2.510528087615967
xgb,0.11349196022160575,0.24194500522849838,244512568619911.62,0.01592385971326249,0.05747532844543457
rf,0.1091224632007746,0.2386220818739819,232352442305333.78,0.04276925036695045,7.152557373046875e-07
xt,0.1097777753802151,0.2386586094019234,233867909513045.53,0.04247616811012955,7.152557373046875e-07
ivf_rf,0.1091224632007746,0.23862208187398187,232352442305333.72,0.04276925036695056,1.4113891124725342
swf_rf,0.1090150827077555,0.2386261376036237,231841502079643.25,0.042736711030379015,1.1045992374420166
owf_rf,0.10911307064605315,0.23862267958017339,232307714168132.3,0.04276445497284609,1.2789795398712158
mrf_rf,0.10557473401178875,0.2397053059259515,213064519033824.7,0.03405883384167374,2.7853119373321533
xgb,0.11028318393639741,0.2306991344338729,255978664971553.2,0.018101406175166312,0.07782173156738281
rf,0.10481710276862437,0.22356853039453853,242990193125316.16,0.0778617177639801,4.76837158203125e-07
xt,0.10586797509447718,0.2246933117751267,244720798712493.3,0.06855975497219058,4.76837158203125e-07
ivf_rf,0.10481710276862437,0.22356853039453858,242990193125316.06,0.07786171776397988,0.6742002964019775
swf_rf,0.10471415987173158,0.22356229724009907,242504839087748.88,0.0779131360042129,0.5528171062469482
owf_rf,0.1048076849528115,0.223568302861218,242945126519340.16,0.07786359474620297,0.5841319561004639
mrf_rf,0.10152360948935699,0.22511614388623288,224425692847899.7,0.06505085288243684,0.9314315319061279
xgb,0.11225818850323878,0.23905427903902896,246017090320913.2,0.014419196109890842,0.04190850257873535
rf,0.11057093449051042,0.23896940032912478,243995890586060.47,0.015118953304936178,4.76837158203125e-07
xt,0.1104840704487915,0.23816742820633993,242215161309367.66,0.021718306981969526,7.152557373046875e-07
ivf_rf,0.11057093449051039,0.23896940032912478,243995890586060.4,0.015118953304936178,0.6898684501647949
swf_rf,0.11043533208063071,0.23897589766550745,243348258186036.25,0.015065396737098946,0.5221099853515625
owf_rf,0.11056208135537071,0.23897109035223887,243953898109216.22,0.01510502283838322,0.5752465724945068
mrf_rf,0.1064362280324142,0.23944441144359552,222503122828621.53,0.011199669859854322,0.8595476150512695
xgb,0.11512241820473017,0.2450392829430964,244359958757263.53,0.015350182957580394,0.06566810607910156
rf,0.10945650241053774,0.23814734998927278,230580152703894.38,0.0699594482800463,4.76837158203125e-07
xt,0.11027851427627057,0.23939043717927094,231033402317674.12,0.060224812380993975,4.76837158203125e-07
ivf_rf,0.10945650241053774,0.2381473499892728,230580152703894.34,0.06995944828004608,0.6773347854614258
swf_rf,0.10933103000620947,0.23814217389152328,229980707790678.12,0.06999987643086403,0.5278596878051758
owf_rf,0.10944294067866057,0.2381460622174924,230516498284596.3,0.06996950656319711,0.5877211093902588
mrf_rf,0.10583295356938045,0.23878698421163264,211915279711997.9,0.06495679206949323,0.9063456058502197
xgb,0.10604370237036324,0.22028129496953244,261627662326633.7,0.006669972223788623,0.05500626564025879
rf,0.10374610065990793,0.2203363637397785,256475037761421.97,0.0061732591408582005,7.152557373046875e-07
xt,0.10383776547697335,0.21865972317438057,255671952224310.06,0.02124068075742569,4.76837158203125e-07
ivf_rf,0.10374610065990791,0.2203363637397785,256475037761421.84,0.0061732591408583115,1.511521816253662
swf_rf,0.10362175317048206,0.22034374020281577,255889127080939.56,0.006106714982571648,1.1663589477539062
owf_rf,0.10373544613542356,0.22033758011475424,256425357510246.2,0.006162286196637057,1.3406593799591064
mrf_rf,0.0996668508483038,0.22079174516633387,235481250161436.72,0.0020610199501674975,2.552053451538086
xgb,0.11051644876983033,0.2341006475029464,249478271384714.06,0.01644775123844655,0.043678998947143555
rf,0.1081310723262974,0.2304901451443286,247992170184463.16,0.046552183237861366,4.76837158203125e-07
xt,0.1090645902019937,0.23064726960031273,250029898346999.44,0.045251814999274886,4.76837158203125e-07
ivf_rf,0.10813107232629737,0.2304901451443286,247992170184463.1,0.046552183237861366,0.6497328281402588
swf_rf,0.10801994541210992,0.2304751074992895,247476395931984.0,0.04667658892223803,0.5104687213897705
owf_rf,0.10811753979628211,0.23048657381728338,247930587861325.25,0.04658172938259697,0.5847783088684082
mrf_rf,0.10520129654217933,0.23122107589554003,232022597472813.62,0.040495444103761824,0.8902561664581299
xgb,0.11132061616417677,0.2340317181684201,253475562020533.56,0.017026866432926835,0.04398608207702637
rf,0.10853942919169107,0.22822599071182334,251364001391879.25,0.06519202704004212,9.5367431640625e-07
xt,0.10968109858781,0.23022949584854718,252919997524796.3,0.04870737286847682,4.76837158203125e-07
ivf_rf,0.10853942919169106,0.22822599071182334,251364001391879.25,0.06519202704004201,1.388268232345581
swf_rf,0.10841951091511352,0.22821708460700726,250799739555015.4,0.06526498398346825,1.0766549110412598
owf_rf,0.10852924583803346,0.22822490853330402,251316220485103.84,0.06520089217154135,1.2252593040466309
mrf_rf,0.1042487867228134,0.22953762154312282,228028666609596.53,0.054416337011811255,2.5231246948242188
xgb,0.11389012269899569,0.24360263531533768,242187519641310.0,0.014791718392753839,0.06488919258117676
rf,0.10984942455552936,0.23825296182940095,234009403769451.0,0.057588220415857094,4.76837158203125e-07
xt,0.11056218757875376,0.23897600060316862,235306885456317.47,0.05185956803877567,7.152557373046875e-07
ivf_rf,0.10984942455552935,0.23825296182940095,234009403769450.9,0.057588220415857094,1.372650384902954
swf_rf,0.10973314933345567,0.23824970086292532,233455719836604.66,0.05761401780502384,1.0906317234039307
owf_rf,0.10983850906385437,0.23825179374684033,233958433579262.84,0.05759746111580677,1.2135770320892334
mrf_rf,0.10599688740638935,0.23956819383477568,212623980054893.1,0.047154676884841984,2.709486961364746
xgb,0.10965386283436046,0.23254073141214848,249199285868053.6,0.016137565764946293,0.03526020050048828
rf,0.10594720647470807,0.22849279310604168,241398023604317.38,0.05009248501778785,4.76837158203125e-07
xt,0.10676058917395659,0.2275594562372448,244756151779958.5,0.05783691279993819,9.5367431640625e-07
ivf_rf,0.10594720647470805,0.22849279310604168,241398023604317.34,0.05009248501778785,0.6897866725921631
swf_rf,0.10584754863192761,0.22848250028182968,240941641078368.34,0.05017806330427066,0.5306756496429443
owf_rf,0.10593817782810198,0.22849237624909377,241356346747195.0,0.05009595099306785,0.5953893661499023
mrf_rf,0.10266102946046597,0.22866301020697977,224398026166048.38,0.04867667905450557,0.8769521713256836
xgb,0.11027302753516022,0.23226845045989714,252105869170225.66,0.018440217562572636,0.05402231216430664
rf,0.10599182172482646,0.22699662941761695,242316141349234.5,0.06249168649175829,7.152557373046875e-07
xt,0.1065713076213852,0.22784341537320257,242946726170837.44,0.05548409703621904,7.152557373046875e-07
ivf_rf,0.10599182172482643,0.22699662941761695,242316141349234.38,0.06249168649175829,1.4631481170654297
swf_rf,0.10585983624724221,0.2269922370744232,241690596887836.97,0.0625279673689727,1.1985023021697998
owf_rf,0.10597844249914809,0.2269956193618572,242254036685059.53,0.0625000296426459,1.2823152542114258
mrf_rf,0.10115927615437525,0.2282949841018612,216509866251070.2,0.05173646619787842,3.2819864749908447
xgb,0.10372483727118488,0.2138174245239281,263165730366248.66,0.01752066861020729,0.0737156867980957
rf,0.09986494464245489,0.21243902439160012,251141899880443.28,0.030147183737107563,7.152557373046875e-07
xt,0.10062942883156106,0.212577218140775,253238157574603.53,0.028884975059868534,4.76837158203125e-07
ivf_rf,0.09986494464245489,0.21243902439160012,251141899880443.22,0.030147183737107563,1.3712351322174072
swf_rf,0.09975035644614368,0.21243154717937454,250599510582932.53,0.030215454317193857,1.0886242389678955
owf_rf,0.09985441007776658,0.21243852456891674,251091986661938.88,0.030151747435968712,1.2123699188232422
mrf_rf,0.09487322480752243,0.2122971332901306,226287639334927.6,0.03144230856398034,2.489565134048462
xgb,0.10921531008484538,0.2304260154677097,251233245267101.34,0.020424920622226783,0.035233497619628906
rf,0.10576509742909457,0.22525439407570333,245098342283098.8,0.06390214284627704,4.76837158203125e-07
xt,0.10609183161950587,0.22563313316412986,245041238099506.53,0.06075161691039721,7.152557373046875e-07
ivf_rf,0.10576509742909455,0.22525439407570336,245098342283098.66,0.06390214284627693,1.413747787475586
swf_rf,0.1056383649671089,0.2252447591208002,244505883105255.1,0.06398222179685398,1.1137616634368896
owf_rf,0.10575350066374012,0.22525280463705488,245044931916465.6,0.0639153533753738,1.2847256660461426
mrf_rf,0.10114739407625668,0.2266788012449055,220168763121215.9,0.05202578975390992,2.751621961593628
xgb,0.1095564700023555,0.23408449190623667,244774084950418.6,0.016583499049080852,0.05338430404663086
rf,0.10497301281749656,0.22981712554401282,232202699171661.53,0.05211209312726617,7.152557373046875e-07
xt,0.10656228310245491,0.23118479319015423,236690751066455.28,0.04079654718928438,4.76837158203125e-07
ivf_rf,0.10497301281749655,0.22981712554401282,232202699171661.47,0.05211209312726617,1.4181957244873047
swf_rf,0.10485648348952586,0.22980984058282214,231653824267579.56,0.052172186274393906,1.0833101272583008
owf_rf,0.10496314417788749,0.22981745410026558,232155278936391.75,0.05210938284429156,1.2667772769927979
mrf_rf,0.10072524304407598,0.23065917242889025,209641215137315.75,0.0451532706095481,2.761373519897461
xgb,0.10829399133444856,0.22743047544475514,253876298929643.4,0.0321511435288917,0.034361839294433594
rf,0.10711217928762888,0.22599659392071264,253371203130426.22,0.04431667076224399,4.76837158203125e-07
xt,0.10680109188132497,0.2260752206952025,250124821995000.62,0.0436515689769823,4.76837158203125e-07
ivf_rf,0.10711217928762885,0.22599659392071264,253371203130426.12,0.04431667076224388,1.4683213233947754
swf_rf,0.10699028591656608,0.22598783442643391,252797417458058.44,0.04439075276742943,1.0979297161102295
owf_rf,0.1071015916343984,0.22599547613508403,253321430169327.1,0.04432612441312078,1.218358039855957
mrf_rf,0.10191566158053388,0.22636741078312755,226910449760664.34,0.041177913447633,2.5314669609069824
