method,mae,rmse,mape,r2,time
xgb,3117.837326690639,8701.23211760679,2.2808584307525974,0.0051621262411128965,0.10486102104187012
rf,2987.3368695409445,8548.97220209756,2.4637754814680437,0.03967416615803321,4.76837158203125e-07
xt,3005.2491854069917,8597.755954532911,2.424350827243712,0.028682911558787993,7.152557373046875e-07
ivf_rf,2983.8672860040715,8547.768656595406,2.4643174123402374,0.03994454122832236,3.488236427307129
swf_rf,2986.335343026868,8548.713957470243,2.464667915290916,0.03973218371510656,3.077110767364502
owf_rf,2986.331628509081,8548.738345947959,2.463241319382074,0.039726704644509336,2.786966562271118
mrf_rf,2945.1394527435036,8539.359459036603,2.539501741849301,0.04183259532431238,4.4418981075286865
xgb,3015.912371220362,8380.365434996156,1.922399108838241,0.005238278529916651,0.0970609188079834
rf,2884.4064385107786,8219.545805105794,1.7065234123362174,0.04305100347012325,9.5367431640625e-07
xt,2924.1256438301966,8278.911817591763,1.7887368951847964,0.029177876021358795,7.152557373046875e-07
ivf_rf,2880.6420177769646,8217.982115597273,1.7016962673552634,0.04341506951621321,3.4362194538116455
swf_rf,2883.2125581552773,8219.470616634873,1.7051489722582704,0.04306851081284413,3.0421929359436035
owf_rf,2883.1496158606947,8219.504700180036,1.7051767016179498,0.043060574611895275,2.798786163330078
mrf_rf,2850.227048484464,8228.519293923131,1.6577853343368354,0.04096041142519957,4.434720277786255
xgb,3199.3232889280057,15710.316721208375,2.3220439302402496,0.0016668148645154757,0.13009071350097656
rf,3096.7499104470153,15626.72275639858,2.419070534735511,0.012262731071347788,2.384185791015625e-07
xt,3126.656578182234,15637.792042953079,2.436458077435391,0.010862895742610346,7.152557373046875e-07
ivf_rf,3093.92293862547,15626.767719394165,2.4114899607240803,0.012257047001687393,3.8151237964630127
swf_rf,3095.9405138727425,15626.701971851824,2.4176811765046193,0.012265358577846164,3.758063554763794
owf_rf,3095.9184371199635,15626.687584773075,2.4170691048915356,0.012267177337755175,3.219160795211792
mrf_rf,3075.188095539942,15633.524546002953,2.3633825719144568,0.011402685963277315,4.717164516448975
xgb,3143.892175565468,12181.728215319912,1.9564603775556841,0.003071296295047543,0.19965434074401855
rf,3000.0578643041836,12054.91759938083,1.7078025213184258,0.023719126354626585,7.152557373046875e-07
xt,3031.962599428286,12085.111232055158,1.7849475917379118,0.018822472096046816,7.152557373046875e-07
ivf_rf,2996.009952965828,12054.936963708687,1.7030470076037958,0.02371598986896506,3.423281669616699
swf_rf,2999.1567102260087,12054.907061599622,1.706970492877993,0.023720833181680723,3.50154972076416
owf_rf,2999.159717240836,12055.248997389474,1.7068298927154946,0.023665448346150808,3.0538790225982666
mrf_rf,2960.397014506691,12067.694539693397,1.666096572140602,0.021648520255929227,4.789876699447632
xgb,3160.522853459216,13508.99343345779,2.0072410144721395,0.0021670132151403454,0.10499262809753418
rf,3054.071444359957,13419.055317525943,1.8238268671238498,0.015409225513160374,4.76837158203125e-07
xt,3071.8391171498365,13430.411844173268,1.903613123083559,0.013742004899011562,7.152557373046875e-07
ivf_rf,3050.189319212024,13418.955924316708,1.8216141764313762,0.01542381093249423,3.5405523777008057
swf_rf,3053.2503662348286,13418.960090547836,1.8231067443453826,0.015423199562634049,3.3151798248291016
owf_rf,3053.178787398006,13418.883593352739,1.8231486173205835,0.015434425044847822,2.9807987213134766
mrf_rf,3024.2422027877205,13424.972788659517,1.8016433910133922,0.014540673745129573,4.707486391067505
xgb,3168.7852520711153,9361.000701398705,2.034441061489697,0.004034226033269528,0.11352300643920898
rf,3085.151316406094,9257.45951860637,1.8372252216064495,0.025944950711924042,7.152557373046875e-07
xt,3085.5603270726424,9265.795742297549,1.959873587971907,0.024189912688073467,9.5367431640625e-07
ivf_rf,3079.8900735180737,9257.363406420225,1.8300096392695262,0.025965176147216384,3.3910608291625977
swf_rf,3083.8437625738907,9257.107329417353,1.8356850849061546,0.026019062865842657,3.1013331413269043
owf_rf,3083.728800729043,9257.07260932519,1.8355169511625542,0.02602636895904875,2.8733739852905273
mrf_rf,3026.5135709163587,9248.146670891218,1.7814885938964349,0.02790373077935593,4.550725698471069
xgb,3391.0133328985667,17727.946230236794,1.8305159827527155,0.0010262478880220804,0.09502530097961426
rf,3249.643795678102,17603.54330899954,1.6163234348027542,0.014997320555966254,4.76837158203125e-07
xt,3290.4006378007984,17644.23282579398,1.690955289529674,0.010438510687663105,9.5367431640625e-07
ivf_rf,3247.7468534326313,17603.836330854,1.6142141033034332,0.01496452832670847,3.430795431137085
swf_rf,3249.018963288426,17603.465581212036,1.6156997313677945,0.01500601902179044,3.0575220584869385
owf_rf,3249.156636767143,17603.53818394792,1.6158632409730311,0.014997894098320974,2.7961957454681396
mrf_rf,3234.609237921777,17608.575625348716,1.5945080708063346,0.014434075588044437,4.386162281036377
xgb,3109.017972217049,9346.573830458046,1.9497695224424547,0.00428538386330124,0.12247776985168457
