method,mae,rmse,mape,r2,time
xgb,7.642595205067676,11.616011756304177,4.7479270211005655,0.8840698411011155,0.2715117931365967
rf,7.300036718106679,11.472185303445054,5.694115464677387,0.8869229026159395,4.76837158203125e-07
xt,9.022810573289316,13.376169387178614,7.356435920091976,0.8462745174994135,7.152557373046875e-07
ivf_rf,7.31267824218931,11.513706439312179,5.241021896201689,0.8861029043612497,2.1945905685424805
swf_rf,7.297950414832139,11.469704254649649,5.690796940880444,0.8869718068921657,2.008427858352661
owf_rf,7.298109175321891,11.469820658012457,5.691347470779805,0.886969512686798,2.1665287017822266
mrf_rf,7.300036718106678,11.472185303445054,5.694115464677384,0.8869229026159395,3.117605447769165
xgb,7.6783406536424845,11.755263684806897,17.649235985160526,0.8810778594454733,0.25469446182250977
rf,7.171266707910717,11.387728396210143,13.986686671417734,0.8883979510800972,1.1920928955078125e-06
xt,8.877986248874775,13.177589525497693,20.158667481090568,0.8505589473993157,7.152557373046875e-07
ivf_rf,7.200643347889358,11.41882137429383,13.702619901178279,0.8877876840931358,2.230139970779419
swf_rf,7.1695182789451986,11.38567400045155,13.984070853162262,0.8884382144384935,2.078425645828247
owf_rf,7.169902961007964,11.386084358431908,13.980278611287092,0.8884301725616571,2.2258005142211914
mrf_rf,7.140958167156535,11.373622077196359,14.091506096447503,0.8886742694093323,2.832916498184204
xgb,7.397289028847057,11.287935135559055,2.783163802215952,0.8909166586035823,0.3278322219848633
rf,7.038384926452363,11.126998928302937,2.3386579735626385,0.894004966914703,7.152557373046875e-07
xt,8.647084199680702,12.9241491310534,2.8701698392737556,0.8570008869839043,9.5367431640625e-07
ivf_rf,7.018872416038282,11.120030052869572,2.0876295437542147,0.8941376954019393,2.2318758964538574
swf_rf,7.037005952977027,11.125372272813118,2.3383454516325926,0.8940359554679915,2.0311434268951416
owf_rf,7.037279439698265,11.12575655179525,2.337290855604809,0.8940286351810972,2.1814310550689697
mrf_rf,7.0222159208844435,11.08253384791236,2.1956792388488,0.8948504169108724,2.852334976196289
xgb,7.311642813400367,11.284851240233518,7.051697469474945,0.893033886096072,0.23548197746276855
rf,7.144846669122465,11.361739384718057,6.568294533446667,0.8915713157927462,4.76837158203125e-07
xt,8.882480806417082,13.281280055681842,9.051739442971424,0.8518388261251919,4.76837158203125e-07
