method,mae,rmse,mape,r2,time
xgb,0.5620201517985417,0.7122447840558876,0.10117555841465135,0.34697149944620786,0.04531264305114746
rf,0.5276389433718142,0.6733991947462348,0.095091231050013,0.416260923941121,2.384185791015625e-07
xt,0.5794935448038658,0.732709689986816,0.10444966056070458,0.3089054771450579,4.76837158203125e-07
ivf_rf,0.5274913772739744,0.673268195395481,0.09506334322050161,0.4164880165857192,0.37007761001586914
swf_rf,0.5275330725760874,0.6733335503391289,0.09507178890650185,0.41637472668437314,0.28519368171691895
owf_rf,0.5276033525546155,0.6733820211748593,0.09508474083487928,0.4162906975343601,0.3105809688568115
mrf_rf,0.5286223407751797,0.676835761156676,0.09529415753127081,0.41028771551600385,0.4481675624847412
xgb,0.5462511191001305,0.6910162645762893,0.09807230186331405,0.34358230536904133,0.048914432525634766
rf,0.5262030996099718,0.6672531983873786,0.09457867718895517,0.3879525838975093,4.76837158203125e-07
xt,0.5719133526821429,0.7193871974364037,0.10318785054560149,0.2885749555489503,4.76837158203125e-07
ivf_rf,0.5260827850608888,0.6671456362458491,0.09455599926099942,0.38814989377854603,0.3713409900665283
swf_rf,0.5261038935347222,0.6671928817096529,0.09456027138633116,0.3880632315445769,0.2792537212371826
owf_rf,0.5261580383553323,0.6672274963312986,0.09457048622917971,0.3879997341369684,0.3176102638244629
mrf_rf,0.5238127044541264,0.6669304066643688,0.09419455504682289,0.38854461119254025,0.4391305446624756
xgb,0.5487899274092454,0.7007364692631248,0.09860687154757089,0.321959104857534,0.07804441452026367
rf,0.5183868734773978,0.6638429077946445,0.09318642460014312,0.3914768748284718,4.76837158203125e-07
xt,0.5640237906573118,0.7176731361688573,0.10145085076675242,0.28878676873006837,2.384185791015625e-07
ivf_rf,0.5183773672363883,0.6638425021605265,0.09318388344822504,0.391477618491356,0.3688979148864746
swf_rf,0.5183529239386744,0.6638477961616399,0.0931806257597028,0.39146791278254645,0.2771134376525879
owf_rf,0.5183787410624753,0.6638502660657835,0.09318469020538767,0.39146338457976126,0.32363033294677734
mrf_rf,0.5184429089787426,0.6673526726829798,0.09328681427870754,0.3850252910768286,0.46680402755737305
xgb,0.5494384123728826,0.6971575237572889,0.09776100256620601,0.3634005496083723,0.07269096374511719
rf,0.5194147367678665,0.6632216961173327,0.09263920080486156,0.42386816705022556,4.76837158203125e-07
xt,0.5824232941451308,0.734853791157589,0.10396720201105351,0.29269569704135034,4.76837158203125e-07
